"election_year","state","type","party","value","party_short","candidate","candidate_state","vp","vp_state","candidate_state_abb","vp_state_abb"
2000,"MS","popvote","diff",-168230,NA,NA,NA,NA,NA,NA,NA
2000,"MS","popvoteperc","democrat",0.406981001504752,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MS","popvoteperc","republican",0.576195150998206,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MS","popvoteperc","diff",-0.169214149493454,NA,NA,NA,NA,NA,NA,NA
2000,"MO","evote","republican",11,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MO","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MO","popvote","republican",1189924,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MO","popvote","democrat",1111138,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MO","popvote","others",58830,NA,NA,NA,NA,NA,NA,NA
2000,"MO","evote","diff",-11,NA,NA,NA,NA,NA,NA,NA
2000,"MO","popvote","diff",-78786,NA,NA,NA,NA,NA,NA,NA
2000,"MO","popvoteperc","democrat",0.470842733481024,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MO","popvoteperc","republican",0.504228159593744,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MO","popvoteperc","diff",-0.0333854261127204,NA,NA,NA,NA,NA,NA,NA
2000,"MT","evote","republican",3,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MT","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MT","popvote","republican",240178,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MT","popvote","democrat",137126,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MT","popvote","others",33693,NA,NA,NA,NA,NA,NA,NA
2000,"MT","evote","diff",-3,NA,NA,NA,NA,NA,NA,NA
2000,"MT","popvote","diff",-103052,NA,NA,NA,NA,NA,NA,NA
2000,"MT","popvoteperc","democrat",0.333642338021932,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
2000,"MT","popvoteperc","republican",0.584378961403611,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"MT","popvoteperc","diff",-0.250736623381679,NA,NA,NA,NA,NA,NA,NA
2000,"NE","evote","republican",5,"R","Bush","Texas","Dick Cheney","Wyoming","TX","WY"
2000,"NE","evote","democrat",0,"D","Gore","Tennessee","Joe Lieberman","Connecticut","TN","CT"
